season,place,team,points,played,won,draw,loss,goals,goals_taken,goals_diff,percentage,points_game,goals_game,goals_tak_game
2018,2,Flamengo,72,38,21,9,8,59,29,30,63.16,1.89,1.55,0.76
2018,3,Internacional,69,38,19,12,7,51,29,22,60.53,1.82,1.34,0.76
2018,5,São Paulo,63,38,16,15,7,46,34,12,55.26,1.66,1.21,0.89
2018,13,Corinthians,44,38,11,11,16,34,35,-1,38.6,1.16,0.89,0.92
2019,1,Flamengo,90,38,28,6,4,86,37,49,78.95,2.37,2.26,0.97
2019,3,Palmeiras,74,38,21,11,6,61,32,29,64.91,1.95,1.61,0.84
2019,6,São Paulo,63,38,17,12,9,39,30,9,55.26,1.66,1.03,0.79
2019,7,Internacional,57,38,16,9,13,44,39,5,50.0,1.5,1.16,1.03
2019,8,Corinthians,56,38,14,14,10,42,34,8,49.12,1.47,1.11,0.89
2020,1,Flamengo,71,38,21,8,9,68,48,20,62.28,1.87,1.79,1.26
2020,2,Internacional,70,38,20,10,8,61,35,26,61.4,1.84,1.61,0.92
2020,4,São Paulo,66,38,18,12,8,59,41,18,57.89,1.74,1.55,1.08
2020,7,Palmeiras,58,38,15,13,10,51,37,14,50.88,1.53,1.34,0.97
2020,12,Corinthians,51,38,13,12,13,45,45,0,44.74,1.34,1.18,1.18
2021,2,Flamengo,71,38,21,8,9,69,36,33,62.28,1.87,1.82,0.95
2021,3,Palmeiras,66,38,20,6,12,58,43,15,57.89,1.74,1.53,1.13
2021,5,Corinthians,57,38,15,12,11,40,36,4,50.0,1.5,1.05,0.95
2021,12,Internacional,48,38,12,12,14,44,42,2,42.11,1.26,1.16,1.11
2021,13,São Paulo,48,38,11,15,12,31,39,-8,42.11,1.26,0.82,1.03
2022,1,Palmeiras,81,38,23,12,3,66,27,39,71.05,2.13,1.74,0.71
2022,2,Internacional,73,38,20,13,5,58,31,27,64.04,1.92,1.53,0.82
2022,4,Corinthians,65,38,18,11,9,44,36,8,57.02,1.71,1.16,0.95
2022,5,Flamengo,62,38,18,8,12,60,39,21,54.39,1.63,1.58,1.03
2022,9,São Paulo,54,38,13,15,10,55,42,13,47.37,1.42,1.45,1.11
2023,1,Palmeiras,70,38,20,10,8,64,33,31,61.4,1.84,1.68,0.87
2023,4,Flamengo,66,38,19,9,10,56,42,14,57.89,1.74,1.47,1.11
2023,9,Internacional,55,38,15,10,13,46,45,1,48.25,1.45,1.21,1.18
2023,11,São Paulo,53,38,14,11,13,40,38,2,46.49,1.39,1.05,1.0
2023,13,Corinthians,50,38,12,14,12,47,48,-1,43.86,1.32,1.24,1.26
2024,2,Palmeiras,73,38,22,7,9,60,33,27,64.04,1.92,1.58,0.87
2024,3,Flamengo,70,38,20,10,8,61,42,19,61.4,1.84,1.61,1.11
2024,5,Internacional,65,38,18,11,9,53,36,17,57.02,1.71,1.39,0.95
2024,6,São Paulo,59,38,17,8,13,53,43,10,51.75,1.55,1.39,1.13
2024,7,Corinthians,56,38,15,11,12,54,45,9,49.12,1.47,1.42,1.18
